,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt
,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024
,,,,,,,,,,,,,,,,,,,,
,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent
,Base,FullSan_2030,FullSan_2050,FullWat_2030,FullWat_2050,FullWatSan_2,SanInc_0_5x,SanInc_0_95x,SanInc_0_9x,SanInc_1_05x,SanInc_1_1x,SanInc_2x,SanitSpend_0,SanitSpend_2,WatInc_0_5x,WatInc_0_95x,WatInc_0_9x,WatInc_1_05x,WatInc_1_1x,WatInc_2x
 2085,          95.55,          99.88,          99.88,          95.97,          95.86,          99.86,          92.92,          95.38,          95.20,          95.71,          95.86,          96.67,               ,               ,          95.36,          95.54,          95.52,          95.56,          95.57,          95.69
 2086,          95.72,          99.88,          99.88,          96.14,          96.03,          99.86,          93.15,          95.56,          95.39,          95.88,          96.03,          96.78,               ,               ,          95.54,          95.71,          95.70,          95.74,          95.75,          95.86
 2087,          95.89,          99.88,          99.88,          96.30,          96.20,          99.86,          93.38,          95.73,          95.56,          96.04,          96.18,          96.89,               ,               ,          95.71,          95.88,          95.87,          95.90,          95.91,          96.02
 2088,          96.05,          99.88,          99.88,          96.46,          96.36,          99.86,          93.60,          95.90,          95.73,          96.20,          96.34,          97.01,               ,               ,          95.88,          96.04,          96.03,          96.06,          96.08,          96.18
 2089,          96.21,          99.88,          99.88,          96.61,          96.51,          99.86,          93.81,          96.06,          95.90,          96.35,          96.49,          97.11,               ,               ,          96.04,          96.20,          96.19,          96.22,          96.24,          96.35
 2090,          96.37,          99.87,          99.87,          96.76,          96.66,          99.86,          94.02,          96.22,          96.07,          96.51,          96.64,          97.22,               ,               ,          96.19,          96.36,          96.35,          96.38,          96.39,          96.50
 2091,          96.52,          99.87,          99.87,          96.90,          96.81,          99.86,          94.22,          96.37,          96.22,          96.65,          96.78,          97.32,               ,               ,          96.34,          96.51,          96.50,          96.53,          96.54,          96.64
 2092,          96.66,          99.87,          99.87,          97.03,          96.94,          99.85,          94.42,          96.52,          96.38,          96.79,          96.91,          97.42,               ,               ,          96.50,          96.65,          96.64,          96.67,          96.69,          96.79
 2093,          96.80,          99.87,          99.87,          97.16,          97.08,          99.85,          94.62,          96.67,          96.53,          96.93,          97.05,          97.52,               ,               ,          96.64,          96.79,          96.78,          96.81,          96.82,          96.92
 2094,          96.94,          99.87,          99.87,          97.29,          97.20,          99.85,          94.82,          96.81,          96.67,          97.06,          97.17,          97.62,               ,               ,          96.78,          96.93,          96.92,          96.95,          96.96,          97.06
 2095,          97.07,          99.87,          99.87,          97.41,          97.33,          99.85,          95.01,          96.94,          96.81,          97.18,          97.29,          97.71,               ,               ,          96.91,          97.06,          97.05,          97.08,          97.09,          97.18
 2096,          97.19,          99.87,          99.88,          97.52,          97.45,          99.86,          95.19,          97.07,          96.95,          97.31,          97.41,          97.80,               ,               ,          97.04,          97.18,          97.17,          97.20,          97.21,          97.30
 2097,          97.31,          99.88,          99.88,          97.63,          97.56,          99.86,          95.37,          97.20,          97.08,          97.42,          97.52,          97.89,               ,               ,          97.17,          97.30,          97.30,          97.32,          97.33,          97.42
 2098,          97.43,          99.88,          99.88,          97.74,          97.67,          99.86,          95.55,          97.32,          97.20,          97.54,          97.63,          97.97,               ,               ,          97.29,          97.42,          97.42,          97.44,          97.45,          97.54
 2099,          97.54,          99.88,          99.88,          97.84,          97.78,          99.86,          95.71,          97.44,          97.32,          97.65,          97.74,          98.05,               ,               ,          97.40,          97.54,          97.53,          97.55,          97.57,          97.65
 2100,          97.65,          99.88,          99.88,          97.94,          97.88,          99.86,          95.87,          97.55,          97.44,          97.75,          97.83,          98.13,               ,               ,          97.52,          97.64,          97.64,          97.66,          97.67,          97.75
